Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
SPGNC,SPG110,236.2782546,236.8483323,0.570077704,5/13/2019
SPGNC,SPG120,245.4506117,246.3103314,0.859719737,5/13/2019
SPGNC,SPG240,126.9606232,127.1832087,0.222585429,5/13/2019
SPGVA,SPG110,235.0077677,236.4550021,1.447234396,5/13/2019
SPGVA,SPG120,241.8740271,243.7165148,1.842487705,5/13/2019
SPGVA,SPG240,126.6635304,127.1503886,0.486858218,5/13/2019
Clinton,OTHER,NA,NA,NA,5/13/2019
Clinton,SPG120,240.277317,240.5495191,0.272202138,5/13/2019
Clinton,SPG240,123.7432102,123.7895672,0.046357031,5/13/2019
GCM7-4,SPG110,234.3769128,234.4766376,0.099724748,5/13/2019
GCM7-4,SPG120,238.9590853,239.0974472,0.138361982,5/13/2019
GCM7-4,SPG240,124.5983874,124.6156619,0.017274476,5/13/2019
GCM7-4,SPG283,NA,NA,NA,5/13/2019
High Desert,SPG110,225.3269752,225.698873,0.371897806,5/13/2019
High Desert,SPG120,234.1978162,234.5748587,0.377042562,5/13/2019
High Desert,SPG240,125.6957636,125.7023767,0.006613133,5/13/2019
Ingold,OTHER,NA,NA,NA,5/13/2019
Ingold,SPG240,124.3168029,124.5851412,0.26833825,5/13/2019
MB 7081,SPG120,238.2793034,238.7787881,0.49948475,5/13/2019
MB 7081,SPG240,124.1248782,124.1760475,0.051169227,5/13/2019
MB 7082,SPG120,237.8635108,238.1842311,0.320720249,5/13/2019
MB 7082,SPG240,124.0910687,124.2387771,0.14770845,5/13/2019
MB 7092,SPG240,123.6962472,123.7340992,0.037851992,5/13/2019
MB 7093,SPG240,123.5882556,123.6291136,0.040857995,5/13/2019
MB 7094,SPG240,124.8435521,125.3251509,0.481598729,5/13/2019
MBW Cimarron,SPG110,237.7651884,237.7651884,0,5/13/2019
MBW Cimarron,SPG120,238.2167607,238.2167607,0,5/13/2019
MBW Cimarron,SPG240,123.9340954,123.9340954,0,5/13/2019
MBW Cyclone,SPG120,239.2660195,239.2660195,0,5/13/2019
MBW Cyclone,SPG240,124.4389868,124.4389868,0,5/13/2019
MBW Illinois,SPG110,231.1150147,235.9715013,4.85648656,5/13/2019
MBW Illinois,SPG120,235.9560812,236.1300127,0.173931563,5/13/2019
MBW Yuma,SPG110,232.2627028,234.7094368,2.446734034,5/13/2019
MBW Yuma,SPG120,236.5855655,236.7599603,0.174394834,5/13/2019
MBW Yuma,SPG240,124.3695303,124.5298514,0.160321112,5/13/2019
Norson,OTHER,NA,NA,NA,5/13/2019
Norson,SPG240,123.0066764,123.1470839,0.140407504,5/13/2019
Prestage MS,SPG110,225.8926277,226.6571565,0.764528854,5/13/2019
Prestage MS,SPG120,234.9266057,235.2793241,0.35271835,5/13/2019
Prestage MS,SPG240,124.2113758,124.4589129,0.247537149,5/13/2019
Princeton,SPG110,NaN,NaN,NaN,5/13/2019
Princeton,SPG120,237.4882434,240.1934676,2.705224249,5/13/2019
Princeton,SPG240,124.1192553,124.5123932,0.393137905,5/13/2019
Skyline Boar Stud,SPG110,225.165515,228.9985142,3.832999126,5/13/2019
Skyline Boar Stud,SPG120,234.797759,237.1273789,2.329619919,5/13/2019
Skyline Boar Stud,SPG240,123.6014498,123.7583949,0.15694511,5/13/2019
SPGNC,SPG110,236.2782546,236.8483323,0.570077704,5/13/2019
SPGNC,SPG120,245.4506117,246.3103314,0.859719737,5/13/2019
SPGNC,SPG240,126.9606232,127.1832087,0.222585429,5/13/2019
SPGVA,SPG110,235.0077677,236.4550021,1.447234396,5/13/2019
SPGVA,SPG120,241.8740271,243.7165148,1.842487705,5/13/2019
SPGVA,SPG240,126.6635304,127.1503886,0.486858218,5/13/2019
Clinton,OTHER,NA,NA,NA,5/13/2019
Clinton,SPG120,240.277317,240.5495191,0.272202138,5/13/2019
Clinton,SPG240,123.7432102,123.7895672,0.046357031,5/13/2019
GCM7-4,SPG110,234.3769128,234.4766376,0.099724748,5/13/2019
GCM7-4,SPG120,238.9590853,239.0974472,0.138361982,5/13/2019
GCM7-4,SPG240,124.5983874,124.6156619,0.017274476,5/13/2019
GCM7-4,SPG283,NA,NA,NA,5/13/2019
High Desert,SPG110,225.3269752,225.698873,0.371897806,5/13/2019
High Desert,SPG120,234.1978162,234.5748587,0.377042562,5/13/2019
High Desert,SPG240,125.6957636,125.7023767,0.006613133,5/13/2019
Ingold,OTHER,NA,NA,NA,5/13/2019
Ingold,SPG240,124.3168029,124.5851412,0.26833825,5/13/2019
MB 7081,SPG120,238.2793034,238.7787881,0.49948475,5/13/2019
MB 7081,SPG240,124.1248782,124.1760475,0.051169227,5/13/2019
MB 7082,SPG120,237.8635108,238.1842311,0.320720249,5/13/2019
MB 7082,SPG240,124.0910687,124.2387771,0.14770845,5/13/2019
MB 7092,SPG240,123.6962472,123.7340992,0.037851992,5/13/2019
MB 7093,SPG240,123.5882556,123.6291136,0.040857995,5/13/2019
MB 7094,SPG240,124.8435521,125.3251509,0.481598729,5/13/2019
MBW Cimarron,SPG110,237.7651884,237.7651884,0,5/13/2019
MBW Cimarron,SPG120,238.2167607,238.2167607,0,5/13/2019
MBW Cimarron,SPG240,123.9340954,123.9340954,0,5/13/2019
MBW Cyclone,SPG120,239.2660195,239.2660195,0,5/13/2019
MBW Cyclone,SPG240,124.4389868,124.4389868,0,5/13/2019
MBW Illinois,SPG110,231.1150147,235.9715013,4.85648656,5/13/2019
MBW Illinois,SPG120,235.9560812,236.1300127,0.173931563,5/13/2019
MBW Yuma,SPG110,232.2627028,234.7094368,2.446734034,5/13/2019
MBW Yuma,SPG120,236.5855655,236.7599603,0.174394834,5/13/2019
MBW Yuma,SPG240,124.3695303,124.5298514,0.160321112,5/13/2019
Norson,OTHER,NA,NA,NA,5/13/2019
Norson,SPG240,123.0066764,123.1470839,0.140407504,5/13/2019
Prestage MS,SPG110,225.8926277,226.6571565,0.764528854,5/13/2019
Prestage MS,SPG120,234.9266057,235.2793241,0.35271835,5/13/2019
Prestage MS,SPG240,124.2113758,124.4589129,0.247537149,5/13/2019
Princeton,SPG110,NaN,NaN,NaN,5/13/2019
Princeton,SPG120,237.4882434,240.1934676,2.705224249,5/13/2019
Princeton,SPG240,124.1192553,124.5123932,0.393137905,5/13/2019
Skyline Boar Stud,SPG110,225.165515,228.9985142,3.832999126,5/13/2019
Skyline Boar Stud,SPG120,234.797759,237.1273789,2.329619919,5/13/2019
Skyline Boar Stud,SPG240,123.6014498,123.7583949,0.15694511,5/13/2019
SPGNC,SPG110,236.2782546,236.8483323,0.570077704,5/13/2019
SPGNC,SPG120,245.4506117,246.3103314,0.859719737,5/13/2019
SPGNC,SPG240,126.9606232,127.1832087,0.222585429,5/13/2019
SPGVA,SPG110,235.0077677,236.4550021,1.447234396,5/13/2019
SPGVA,SPG120,241.8740271,243.7165148,1.842487705,5/13/2019
SPGVA,SPG240,126.6635304,127.1503886,0.486858218,5/13/2019
Clinton,OTHER,NA,NA,NA,5/13/2019
Clinton,SPG120,240.277317,240.5495191,0.272202138,5/13/2019
Clinton,SPG240,123.7432102,123.7895672,0.046357031,5/13/2019
GCM7-4,SPG110,234.3769128,234.4766376,0.099724748,5/13/2019
GCM7-4,SPG120,238.9590853,239.0974472,0.138361982,5/13/2019
GCM7-4,SPG240,124.5983874,124.6156619,0.017274476,5/13/2019
GCM7-4,SPG283,NA,NA,NA,5/13/2019
High Desert,SPG110,225.3269752,225.698873,0.371897806,5/13/2019
High Desert,SPG120,234.1978162,234.5748587,0.377042562,5/13/2019
High Desert,SPG240,125.6957636,125.7023767,0.006613133,5/13/2019
Ingold,OTHER,NA,NA,NA,5/13/2019
Ingold,SPG240,124.3168029,124.5851412,0.26833825,5/13/2019
MB 7081,SPG120,238.2793034,238.7787881,0.49948475,5/13/2019
MB 7081,SPG240,124.1248782,124.1760475,0.051169227,5/13/2019
MB 7082,SPG120,237.8635108,238.1842311,0.320720249,5/13/2019
MB 7082,SPG240,124.0910687,124.2387771,0.14770845,5/13/2019
MB 7092,SPG240,123.6962472,123.7340992,0.037851992,5/13/2019
MB 7093,SPG240,123.5882556,123.6291136,0.040857995,5/13/2019
MB 7094,SPG240,124.8435521,125.3251509,0.481598729,5/13/2019
MBW Cimarron,SPG110,237.7651884,237.7651884,0,5/13/2019
MBW Cimarron,SPG120,238.2167607,238.2167607,0,5/13/2019
MBW Cimarron,SPG240,123.9340954,123.9340954,0,5/13/2019
MBW Cyclone,SPG120,239.2660195,239.2660195,0,5/13/2019
MBW Cyclone,SPG240,124.4389868,124.4389868,0,5/13/2019
MBW Illinois,SPG110,231.1150147,235.9715013,4.85648656,5/13/2019
MBW Illinois,SPG120,235.9560812,236.1300127,0.173931563,5/13/2019
MBW Yuma,SPG110,232.2627028,234.7094368,2.446734034,5/13/2019
MBW Yuma,SPG120,236.5855655,236.7599603,0.174394834,5/13/2019
MBW Yuma,SPG240,124.3695303,124.5298514,0.160321112,5/13/2019
Norson,OTHER,NA,NA,NA,5/13/2019
Norson,SPG240,123.0066764,123.1470839,0.140407504,5/13/2019
Prestage MS,SPG110,225.8926277,226.6571565,0.764528854,5/13/2019
Prestage MS,SPG120,234.9266057,235.2793241,0.35271835,5/13/2019
Prestage MS,SPG240,124.2113758,124.4589129,0.247537149,5/13/2019
Princeton,SPG110,NaN,NaN,NaN,5/13/2019
Princeton,SPG120,237.4882434,240.1934676,2.705224249,5/13/2019
Princeton,SPG240,124.1192553,124.5123932,0.393137905,5/13/2019
Skyline Boar Stud,SPG110,225.165515,228.9985142,3.832999126,5/13/2019
Skyline Boar Stud,SPG120,234.797759,237.1273789,2.329619919,5/13/2019
Skyline Boar Stud,SPG240,123.6014498,123.7583949,0.15694511,5/13/2019
